Sample Number,Article Number,Year & Month,Journal,DOI,Matrix name,Monomer,Functional group,Initiator,Matrix modification method,Matrix relative dielectric constant (1Hz),Matrix relative dielectric constant (10Hz),Matrix relative dielectric constant (100Hz),Matrix relative dielectric constant (1kHz),Matrix relative dielectric constant (10kHz),Matrix relative dielectric constant (10^5Hz),Matrix relative dielectric constant (1MHz),Matrix dielectric loss (1Hz),Matrix dielectric loss (10Hz),Matrix dielectric loss (100Hz),Matrix dielectric loss (1kHz),Matrix dielectric loss (10kHz),Matrix dielectric loss (10^5Hz),Matrix dielectric loss (1MHz),Matrix breakdown electric field/kV·mm-1,Matrix conductivity (1Hz)/S·m-1,Matrix conductivity (10Hz)/S·m-1,Matrix conductivity (100Hz)/S·m-1,Matrix conductivity (1kHz)/S·m-1,Matrix conductivity (10kHz)/S·m-1,Matrix conductivity (10^5Hz)/S·m-1,Matrix conductivity (1MHz)/S·m-1,Matrix elastic modulus/MPa,Particle material category,Particle conductivity category,Particle component,Particle main elements,Particle morphology,Particle size/nm,Particle arrangement,Filling ratio (wt),Filling ratio (vol),Particle synthesis method,Particle modification method,Particle relative dielectric constant (1Hz),Particle relative dielectric constant (10Hz),Particle relative dielectric constant (100Hz),Particle relative dielectric constant (1kHz),Particle relative dielectric constant (10kHz),Particle relative dielectric constant (10^5Hz),Particle relative dielectric constant (1MHz),Particle dielectric loss (1Hz),Particle dielectric loss (10Hz),Particle dielectric loss (100Hz),Particle dielectric loss (1kHz),Particle dielectric loss (10kHz),Particle dielectric loss (10^5Hz),Particle dielectric loss (1MHz),Particle conductivity (1Hz)/S·m-1,Particle conductivity (10Hz)/S·m-1,Particle conductivity (100Hz)/S·m-1,Particle conductivity (1kHz)/S·m-1,Particle conductivity (10kHz)/S·m-1,Particle conductivity (10^5Hz)/S·m-1,Particle conductivity (1MHz)/S·m-1,Preparation of composite,Composite thickness/mm,Composite relative dielectric constant (1Hz),Composite relative dielectric constant (10Hz),Composite relative dielectric constant (100Hz),Composite relative dielectric constant (1kHz),Composite relative dielectric constant (10kHz),Composite relative dielectric constant (10^5Hz),Composite relative dielectric constant (1MHz),Composite elastic modulus/MPa,Composite dielectric loss (1Hz),Composite dielectric loss (10Hz),Composite dielectric loss (100Hz),Composite dielectric loss (1kHz),Composite dielectric loss (10kHz),Composite dielectric loss (10^5Hz),Composite dielectric loss (1MHz),Composite conductivity (1Hz)/S·m-1,Composite conductivity (10Hz)/S·m-1,Composite conductivity (100Hz)/S·m-1,Composite conductivity (1kHz)/S·m-1,Composite conductivity (10kHz)/S·m-1,Composite conductivity (10^5Hz)/S·m-1,Composite conductivity (1MHz)/S·m-1,Maximum strain,Breakdown voltage/kV,Breakdown electric field/kV·mm-1,Pre-stretching ratio,Prestress/N,Applied electric field/kV·mm,Frequency/Hz,Actuation displacement/mm,Actuating force/N,Actuating strain,Stress/MPa,Area strain,Response time/ms,Recovery time/ms,Response speed/Hz,Maximum bandwidth/Hz,Electromechanical sensitivity/MPa-1,Elastic energy density/MPa-1,Power density/W·kg-1,Energy density/J·kg-1,Energy efficiency/%,Cyclic voltage/Kv,Cyclic electric field/kV·mm-1,Cyclic strain,Cycle life,Time constant/ms,Single type particles or not,2nd particle material category,2nd particle conductivity category,2nd particle component,2nd particle main elements,2nd particle morphology,2nd particle size,2nd particle arrangement,2nd filling ratio (wt),2nd filling ratio (vol),2nd particle synthesis method,2nd particle modification method,2nd particle relative dielectric constant (1Hz),2nd particle relative dielectric constant (10Hz),2nd particle relative dielectric constant (100Hz),2nd particle relative dielectric constant (1kHz),2nd particle relative dielectric constant (10kHz),2nd particle relative dielectric constant (10^5Hz),2nd particle relative dielectric constant (1MHz),2nd particle dielectric loss (1Hz),2nd particle dielectric loss (10Hz),2nd particle dielectric loss (100Hz),2nd particle dielectric loss (1kHz),2nd particle dielectric loss (10kHz),2nd particle dielectric loss (10^5Hz),2nd particle dielectric loss (1MHz),2nd particle conductivity (1Hz),2nd particle conductivity (10Hz),2nd particle conductivity (100Hz),2nd particle conductivity (1kHz),2nd particle conductivity (10kHz),2nd particle conductivity (10^5Hz),2nd particle conductivity (1MHz),3rd particle material category,3rd particle conductivity category,3rd particle component,3rd particle main elements,3rd particle morphology,3rd particle size,3rd particle arrangement,3rd doping ratio (wt),3rd doping ratio (vol),3rd particle synthesis method,3rd particle modification method,3rd particle relative dielectric constant (1Hz),3rd particle relative dielectric constant (10Hz),3rd particle relative dielectric constant (100Hz),3rd particle relative dielectric constant (1kHz),3rd particle relative dielectric constant (10kHz),3rd particle relative dielectric constant (10^5Hz),3rd particle relative dielectric constant (1MHz),3rd particle dielectric loss (1Hz),3rd particle dielectric loss (10Hz),3rd particle dielectric loss (100Hz),3rd particle dielectric loss (1kHz),3rd particle dielectric loss (10kHz),3rd particle dielectric loss (10^5Hz),3rd particle dielectric loss (1MHz),3rd particle conductivity (1Hz),3rd particle conductivity (10Hz),3rd particle conductivity (100Hz),3rd particle conductivity (1kHz),3rd particle conductivity (10kHz),3rd particle conductivity (10^5Hz),3rd particle conductivity (1MHz)
223,47,202008,POLYMER COMPOSITES,10.1002/pc.25813,"3-Mercaptopropylbis(trialkylpentamethoxy-siloxane) (Si747) was purchased from Shanghai Qixiang Chemical Co., Ltd.",,,,,2.91,2.91,2.91,2.91,2.91,2.91,,0.0025,0.0021,0.0021,0.0021,0.0021,0.0021,,60.21,4.50E-16,1.50E-15,1.00E-13,1.00E-12,5.00E-12,5.00E-11,,0.36,Ceramic Materials,Semiconductor,BN,B/N,Sphere ,100,Anisotropism,0.2,,,,,,,,,,4.2,,,,,,,0.0002,,,,,,,,,2,,5.21,4.32,3.5,3.5,3.5,,0.39,0.18,0.14,0.057,0.031,0.015,0.01,,4.00E-13,3.00E-12,1.50E-11,5.00E-11,2.00E-10,7.50E-10,,20.97,41.73,41.73,,,,,,,0.0486,,,,,,,,,,,,,,,,,N,Ceramic Materials,Dielectric, BaTiO3, Ba/Ti/O,Sphere ,100,Anisotropism,0.2,,,Grafting of 3-mercaptopropylethoxybis(trialkylpentamethoxysiloxane) (Si747) onto the surface of BT nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,47,202008,POLYMER COMPOSITES,10.1002/pc.25813,"3-Mercaptopropylbis(trialkylpentamethoxy-siloxane) (Si747) was purchased from Shanghai Qixiang Chemical Co., Ltd.",,,,,2.91,2.91,2.91,2.91,2.91,2.91,,0.0025,0.0021,0.0021,0.0021,0.0021,0.0021,,60.21,4.50E-16,1.50E-15,1.00E-13,1.00E-12,5.00E-12,5.00E-11,,0.36,Ceramic Materials,Semiconductor,BN,B/N,Sphere ,100,Anisotropism,0.3,,,,,,,,,,4.2,,,,,,,0.0002,,,,,,,,,2,,6.87,5.43,3.7,3.7,3.7,,0.78,0.23,0.19,0.13,0.054,0.025,0.013,,9.50E-13,7.00E-13,3.50E-11,1.00E-10,7.00E-10,1.50E-09,,27.05,38.9,38.9,,,,,,,0.0282,,,,,,,,,,,,,,,,,N,Ceramic Materials,Dielectric, BaTiO3, Ba/Ti/O,Sphere ,100,Anisotropism,0.3,,,Grafting of 3-mercaptopropylethoxybis(trialkylpentamethoxysiloxane) (Si747) onto the surface of BT nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,       ,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,3.1,3.1,3.1,3.1,3.1,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.05,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,3.8,3.8,3.8,3.8,3.8,,,,,,,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.1,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,5.2,5.2,5.2,5.2,5.2,,4.5,,,,,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.15,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,6.8,6.8,6.8,6.8,6.8,,,,,,,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,3.1,3.1,3.1,3.1,3.1,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.05,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,5.2,5.2,5.2,5.2,5.2,,,,,,,0.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.1,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,6.1,6.1,6.1,6.1,6.1,,3,,,,,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.15,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,11.3,11.3,11.3,11.3,11.3,,,,,,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,3.1,3.1,3.1,3.1,3.1,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.05,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,5.2,5.2,5.2,5.2,5.2,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.1,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,5.8,5.8,5.8,5.8,5.8,,4.7,,,,,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.15,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,6.2,6.2,6.2,6.2,6.2,,,,,,,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,3.1,3.1,3.1,3.1,3.1,,,,,,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.05,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,4.8,4.8,4.8,4.8,4.8,,,,,,,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.1,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,5.9,5.9,5.9,5.9,5.9,,4.8,,,,,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,48,202010,ROYAL SOCIETY OF CHEMISTRY ADVANCES,10.1039/d0ra04196c,"PDMS, (C2H6OSi)n, Sylgard182",,,,Phase change process and surface modification using polyvinylpyrrolidone (PVP),6,6,6,6,6,6,,,,,,,,,26,,,,,,,,,Ceramic Materials,Dielectric Material, BaTiO3, Ba/Ti/O,Sphere ,500,Anisotropism,,0.15,Hydrothermal method,,,,,,,,12000,,,,,,,,,,,,,,,,2,,8.2,8.2,8.2,8.2,8.2,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,49,202011,MACROMOLECULAR RESEARCH,10.1007/s13233-021-9002-y,PDMS Sylgard184,,,,,3.1,3.1,3.1,3.1,3.1,3.1,,,,,,,,,26,,,       ,,,,,,Metal,Conductor,Au,Au,Sphere ,12,Anisotropism,,0.01,Citric acid reduction method,,6,6,6,6,6,6,,,,,,,,,,,,,,,,,5,,3.9,3.9,3.9,3.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,49,202011,MACROMOLECULAR RESEARCH,10.1007/s13233-021-9002-y,PDMS Sylgard184,,,,,3.1,3.1,3.1,3.1,3.1,3.1,,,,,,,,,26,,,,,,,,,Metal,Conductor,Au,Au,Sphere ,12,Anisotropism,,0.01,Citric acid reduction method,,6,6,6,6,6,6,,,,,,,,,,,,,,,,,5,,3.7,3.7,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,49,202011,MACROMOLECULAR RESEARCH,10.1007/s13233-021-9002-y,PDMS Sylgard184,,,,,3.1,3.1,3.1,3.1,3.1,3.1,,,,,,,,,26,,,,,,,,,Metal,Conductor,Au,Au,Sphere ,12,Anisotropism,,0.01,Citric acid reduction method,,6,6,6,6,6,6,,,,,,,,,,,,,,,,,5,,3.4,3.4,3.4,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,50,202012,AMERICAN CHEMICAL SOCIETY OMEGA,10.1021/acsomega.0c05164,Hydrogenated carboxylated acrylonitrile-butadiene rubber (HXNBR) TherbanXT8889,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere ,20,Anisotropism,0,,,Silicone coating,,,,,,,12000,,,,,,,,,,,,,,,,2,,155,16.3,,,,,7.1,,,,,,,,,,,,,,,,53.3,53.3,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,50,202012,AMERICAN CHEMICAL SOCIETY OMEGA,10.1021/acsomega.0c05164,Hydrogenated carboxylated acrylonitrile-butadiene rubber (HXNBR) TherbanXT8889,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere ,20,Anisotropism,0.1,,,Silicone coating,,,,,,,12000,,,,,,,,,,,,,,,,2,,80,15.2,,,,,7.4,,,,,,,,,,,,,,,,46.7,46.7,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,50,202012,AMERICAN CHEMICAL SOCIETY OMEGA,10.1021/acsomega.0c05164,Hydrogenated carboxylated acrylonitrile-butadiene rubber (HXNBR) TherbanXT8889,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere ,20,Anisotropism,0.5,,,Silicone coating,,,,,,,12000,,,,,,,,,,,,,,,,2,,47,17.1,,,,,7.5,,,,,,,,,,,,,,,,46.6,46.6,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,50,202012,AMERICAN CHEMICAL SOCIETY OMEGA,10.1021/acsomega.0c05164,Hydrogenated carboxylated acrylonitrile-butadiene rubber (HXNBR) TherbanXT8889,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere ,20,Anisotropism,1,,,Silicone coating,,,,,,,12000,,,,,,,,,,,,,,,,2,,28,13.8,,,,,8.7,,,,,,,,,,,,,,,,70,70,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,50,202012,AMERICAN CHEMICAL SOCIETY OMEGA,10.1021/acsomega.0c05164,Hydrogenated carboxylated acrylonitrile-butadiene rubber (HXNBR) TherbanXT8889,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere ,20,Anisotropism,1.5,,,Silicone coating,,,,,,,12000,,,,,,,,,,,,,,,,2,,27,11.3,,,,,6.7,,,,,,,,,,,,,,,,83.3,83.3,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,50,202012,AMERICAN CHEMICAL SOCIETY OMEGA,10.1021/acsomega.0c05164,Hydrogenated carboxylated acrylonitrile-butadiene rubber (HXNBR) TherbanXT8889,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere ,20,Anisotropism,0,,,Silicone coating,,,,,,,12000,,,,,,,,,,,,,,,,2,,21,10.4,,,,,2.7,,,,,,,,,,,,,,,,76.6,76.6,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,51,202101,ADVANCED ENGINEERING MATERIALS,10.1002/adem.202001181,PDMS Sylgard184,,,,,3.6,3.6,3.6,3.6,3.6,3.6,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,C,C,Irregular ,,Isotropic,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,60.24,60.24,,,0.0354,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,51,202101,ADVANCED ENGINEERING MATERIALS,10.1002/adem.202001181,PDMS Sylgard184,,,,,3.6,3.6,3.6,3.6,3.6,3.6,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,C,C,Irregular ,,Isotropic,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,61.22,61.22,,,0.0368,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,51,202101,ADVANCED ENGINEERING MATERIALS,10.1002/adem.202001181,PDMS Sylgard184,,,,,3.6,3.6,3.6,3.6,3.6,3.6,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,C,C,Irregular ,,Isotropic,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,62.77,62.77,,,0.0488,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,51,202101,ADVANCED ENGINEERING MATERIALS,10.1002/adem.202001181,PDMS Sylgard184,,,,,3.33,3.33,3.33,3.33,3.33,3.33,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,C,C,Irregular ,,Isotropic,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,55.78,55.78,0.1,,,,,,0.0431,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,51,202101,ADVANCED ENGINEERING MATERIALS,10.1002/adem.202001181,PDMS Sylgard184,,,,,3.33,3.33,3.33,3.33,3.33,3.33,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,C,C,Irregular ,,Isotropic,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,58.21,58.21,0.2,,,,,,0.0903,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
